UserID,Rating,Review,ReviewTime,MealID,mealName,mealType,mealPrice
A2WOH395IHGS0T,5,风味独特，真的不错！,1685479456,B0040HNZTW,凉拌血蚶,其他,17
A32KHS0VN0N0HB,3,有特色，也比较卫生,1685479508,B006Z48TZS,手撕茄子,素菜,12
A1YQ4Z5U9NIGP,5,家常美味，推荐！,1685479676,B00CDBTQCW,素鱼焗苦瓜,素菜,10
A3E5V5TSTAY3R9,4,好吃,1685481656,B00751IYQ4,栗子焖鸡,鸡肉,39
A1V50CTTDJ73ZM,5,不得不赞,1685482409,B00C0OLT6S,广式肠粉,其他,10
A3GD8QRS50A6OB,5,每周必点的一道菜,1685482456,B006WC63X8,小炒黄瓜,素菜,10
AK6G2ZYJVQ42D,5,同事们都很喜欢,1685482498,B0099JKR6U,黑椒芦笋牛扒,牛肉,24
A2FPYIU94BNC73,5,性价比高,1685484440,B0087YNHNI,韩式拌饭,主食,15
A2WOH395IHGS0T,5,有惊喜,1685485465,B002A493NY,葱油莴笋,素菜,16
AM0LNXVIXZKKW,3,味道一般,1685486400,B002KGEORM,蒸鸡蛋羹,蛋类,10
A1VOJC5KLSOWGY,5,太美味了，强烈推荐！,1685486400,B0045TGRSG,干锅香鸡,鸡肉,27
A2FPYIU94BNC73,3,味道很正,1685486400,B0073J5X58,芦笋炒鱼片,鱼,19
AMXJDVI60YD39,5,太美味了，强烈推荐！,1685486400,B006Z48TZS,手撕茄子,素菜,12
A33T3FTA07CBJW,4,非常非常好吃,1685486400,B0071E6J30,炝炒土豆丝,素菜,13
A37FUJC2L7DSPT,5,太美味了，强烈推荐！,1685486400,B00FWLG2MM,蓝莓酸奶司康,其他,16
A1GH5XCC5D4VY9,5,太美味了，强烈推荐！,1685486400,B007JF83YY,蜜汁叉烧,猪肉,18
A3GUNEINK3GRDV,5,太美味了，强烈推荐！,1685486400,B007JF83YY,蜜汁叉烧,猪肉,18
A79TS2VPN9DWV,5,太美味了，强烈推荐！,1685486400,B007JF83YY,蜜汁叉烧,猪肉,18
ALGUXW3P7JEL9,4,非常非常好吃,1685486400,B007VQLRGW,木瓜豌豆鸡丁,鸡肉,18
A1V50CTTDJ73ZM,5,太美味了，强烈推荐！,1685486400,B008QTTGGG,傣味鱼皮,鱼,11
A1V50CTTDJ73ZM,5,太美味了，强烈推荐！,1685486400,B009FZFONO,高汤,汤品,15
A21I2ZUCY9S5ZX,5,太美味了，强烈推荐！,1685486400,B000OJFV3S,橙汁鸡球,鸡肉,36
AM0LNXVIXZKKW,4,非常非常好吃,1685486400,B001F6ZIXC,蘑菇酿丸子,其他,14
A1VX5R7X7X7BQK,4,非常非常好吃,1685486400,B0025Z8G4K,炝拌土豆丝,素菜,15
A3HZGRD34E1ECB,4,非常非常好吃,1685486400,B002Y0TGOU,毛豆肉丁,猪肉,25
ABLBRUT8DALNN,5,太美味了，强烈推荐！,1685486400,B003VDX6MW,黄金芝士虾球,素菜,29
A3HU30P8YYXW1S,4,非常非常好吃,1685486400,B00ESNKDHA,家常鱼香肉丝,鱼,18
AAD3KLMJH6VUI,5,太美味了，强烈推荐！,1685486400,B00ETKG8AI,牛排,牛肉,29
A1V50CTTDJ73ZM,5,太美味了，强烈推荐！,1685486400,B008BQG3RE,土豆焖鸡肉,鸡肉,19
A1ALCUX70AVFWB,4,非常非常好吃,1685486400,B00GLYM3QS,蒜蓉干锅虾,海鲜,23
A2XIK5M8J6QAMU,5,太美味了，强烈推荐！,1685486400,B00F406S2U,芝士蟹,海鲜,28
A37IRE9GZ0CZ7I,5,太美味了，强烈推荐！,1685486400,B00F49E8O6,五花肉烧茄干,猪肉,16
A1RPTVW5VEOSI,5,太美味了，强烈推荐！,1685486400,B00H8C57GA,瑞士排骨,猪肉,29
A2WOH395IHGS0T,5,太美味了，强烈推荐！,1685486400,B003OURWUO,干煸有机菜花,素菜,16
A1Y3NTL7XXIFQ8,5,太美味了，强烈推荐！,1685486400,B00BLBTEPY,牙签羊肉,羊肉,18
A1YQ4Z5U9NIGP,5,太美味了，强烈推荐！,1685486400,B00BLCHYKU,熏鲅鱼,海鲜,29
A3HU30P8YYXW1S,5,太美味了，强烈推荐！,1685486400,B00BLCHYKU,熏鲅鱼,海鲜,29
A13N5BCT0EPLFE,5,太美味了，强烈推荐！,1685486400,B00EZJMKCI,辣炒茄子,素菜,13
A2XIK5M8J6QAMU,5,太美味了，强烈推荐！,1685486400,B00F3KFI4U,爆炒鸡胗,鸡肉,20
A2XIK5M8J6QAMU,5,太美味了，强烈推荐！,1685486400,B00FJ01MQC,东北酱茄条,素菜,9
A1UD6K77VYT36B,5,太美味了，强烈推荐！,1685486400,B00H8C57GA,瑞士排骨,猪肉,29
A18B5QL328E02A,3,味道很正,1685486400,B00H8C57GA,瑞士排骨,猪肉,29
A13MM7UES60AAU,5,太美味了，强烈推荐！,1685486400,B00APE00H4,红豆南瓜米糊,其他,6
A95880RI1T8JN,3,味道很正,1685486400,B00CDBR1P6,金银瓜条,素菜,10
A3HU30P8YYXW1S,5,太美味了，强烈推荐！,1685486400,B00CDBR1P6,金银瓜条,素菜,10
A1V50CTTDJ73ZM,5,太美味了，强烈推荐！,1685486400,B00DAHSVYC,香菜陈皮鸭,鸭肉,37
AWIPRI88HVFRG,5,太美味了，强烈推荐！,1685486400,B00B8P8O9K,冬瓜茶,饮品,6
A3OAZI8FM972UC,5,太美味了，强烈推荐！,1685486400,B008BQ8VOC,五香鱼柳,鱼,30
A3RPLCEFOTTVO6,5,太美味了，强烈推荐！,1685486400,B00IKFSSTW,水晶虾饺,海鲜,12
A2WS03A3HFMCI6,3,有特色，卫生,1685486400,B00JBHQ138,海米冬瓜,素菜,14
AAPT0IT4F8ABH,5,太美味了，强烈推荐！,1685486400,B00JFQ96F0,腊味蛋炒饭,主食,16
ANCOMAI0I7LVG,5,太美味了，强烈推荐！,1685486400,B00JH3S0AI,香煎芋头饼,饼,8
A19TN0NGGJQEUV,4,很美味，推荐品尝,1685486400,B00JIL4HLA,辣炒鱿鱼,海鲜,19
A1EIIGQBKKVDT0,5,太美味了，强烈推荐！,1685486400,B00K1WIN7O,照烧鸡腿,鸡肉,16
A3E9755POMX4K8,5,太美味了，强烈推荐！,1685486400,B00L86ZKAK,酱猪肘子,猪肉,28
A2Q7G5X907W02R,5,太美味了，强烈推荐！,1685486400,B00KBN95IE,香炸猪排,烧烤,24
AE6QVJOKKCGQ3,5,太美味了，强烈推荐！,1685486400,B00KBN95IE,香炸猪排,烧烤,24
